,Title,Price,Rating,Description,linkofproduct
185,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
353,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
281,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
161,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
65,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
89,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
329,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
41,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
209,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
257,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar,"₹ 68,499.00",,"Resolution: Ultra HD (3840x2160) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : Cinematic Soundbar | 100Watt Supersonic sound | Cinema-Grade 6-JBL speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12 | 4-Master and 2-Tweeter speakers for directional sound | Sports Sound Mode
Smart TV Features : Official Android Pie 9.0 | Google play store | Google Eco-system (Movie, TV, Music, Games) | Google Games | Chromecast Built In | Parental Control | Bluetooth 5.0 | Dual Band WiFi | Titanium Grey finish | Fabric-clad Supersonic Soundbar | Edgy aesthetics | Bezel less design | 1.4GHz quad core processor | Powerful GPU | 16GB/ 2GB | Licensed Apps-YouTube, Netflix, Prime Video, Hotstar, Google Play Hotkeys on Remote Control | ARC and optical port to connect external sound system
Display : Pixelium Glass Technology | Enhanced 4K visuals and motion smoothing | Dolby Vision, HDR10, HLG | Active Contrast | MEMC | Gamma Calibration | Enhanced Viewing Angle | PC and Game Mode
Warranty Information: 3 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by Amazon Home Services. For any other information, please contact VU support on 1800-228-455
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",https://www.amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_42?dchild=1&fst=as%3Aoff&qid=1619634902&rnid=1389396031&s=electronics&sr=1-42
